City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,aktau,43.65,51.2,10.32,62,23,5.08,KZ,1712701229
222,antofagasta,-23.65,-70.4,18.64,83,74,4.22,CL,1712701022
223,boende,-0.2167,20.8667,24.64,77,24,1.15,CD,1712701229
224,pagar alam,-4.0167,103.2667,20.6,98,100,1.36,ID,1712701230
225,hithadhoo,-0.6,73.0833,28.95,75,83,2.97,MV,1712700946
226,westport,41.1415,-73.3579,24.75,42,0,1.54,US,1712701230
227,gadzhiyevo,69.2551,33.3362,-3.86,92,100,1.73,RU,1712701075
228,xining,36.6167,101.7667,4.33,81,100,0.66,CN,1712701098
229,djibo,14.1022,-1.6306,33.54,10,6,4.78,BF,1712701048
230,quila,24.4228,-107.22,29.92,23,0,6.27,MX,1712701231
231,as sulayyil,20.4607,45.5779,27.14,49,88,7.54,SA,1712701231
232,fortaleza,-3.7227,-38.5247,29.56,84,20,3.09,BR,1712701200
233,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.52,PT,1712700984
234,whitby,54.4877,-0.615,7.3,79,54,4.47,GB,1712701073
235,tralee,52.2704,-9.7026,7.0,89,99,2.07,IE,1712701232
236,kapuskasing,49.4169,-82.4331,8.05,100,100,2.57,CA,1712701103
237,mabaruma,8.2,-59.7833,26.93,72,38,2.67,GY,1712701233
238,pasighat,28.0667,95.3333,18.78,69,88,3.69,IN,1712701233
239,pundong,-7.9522,110.3486,25.02,95,100,0.74,ID,1712701233
240,oamaru,-45.0784,170.9801,15.77,89,100,2.01,NZ,1712701111
241,codrington,-38.2667,141.9667,13.83,81,73,3.11,AU,1712700941
242,pontes e lacerda,-15.2261,-59.3353,24.93,94,100,1.51,BR,1712701233
243,talnakh,69.4865,88.3972,-25.04,98,99,4.76,RU,1712700941
244,la ronge,55.1001,-105.2842,14.12,35,100,2.57,CA,1712701234
245,key west,24.5557,-81.7826,27.0,61,0,8.23,US,1712700979
246,lamarque,-39.423,-65.7021,13.97,20,69,3.49,AR,1712701234
247,sur,22.5667,59.5289,28.38,58,50,2.67,OM,1712701234
248,port moresby,-9.4431,147.1797,26.56,83,98,1.08,PG,1712701234
249,harper,4.375,-7.7169,27.97,83,97,3.37,LR,1712701234
250,dungarpur,23.8333,73.7167,28.88,19,88,2.86,IN,1712701235
251,padangsidempuan,1.3667,99.2667,22.05,99,100,0.47,ID,1712701034
252,mil'kovo,55.6078,37.7956,14.22,96,100,2.04,RU,1712701235
253,hitzacker,53.1525,11.0442,10.94,75,100,5.44,DE,1712701235
254,jebrail,39.3992,47.0283,10.96,81,100,0.58,AZ,1712701235
255,changzhou,31.7833,119.9667,11.08,67,99,3.07,CN,1712701235
256,viedma,-40.8135,-62.9967,10.63,46,3,4.12,AR,1712701120
257,derzhavinsk,51.1,66.3167,4.33,91,46,4.08,KZ,1712701236
258,sundarnagar,31.5333,76.8833,16.41,29,0,3.14,IN,1712701236
259,verkhnevilyuysk,63.4453,120.3167,-9.75,94,37,2.86,RU,1712701236
260,iskateley,67.6803,53.1512,-8.32,85,100,2.24,RU,1712701236
261,ketchikan,55.3422,-131.6461,8.52,66,75,6.17,US,1712701236
262,ola,59.5833,151.2833,-5.48,74,4,3.92,RU,1712701236
263,arkhara,49.4212,130.0842,-0.13,54,81,2.24,RU,1712701237
264,strezhevoy,60.7333,77.5889,-13.91,91,49,2.68,RU,1712701237
265,sitia,35.2,26.0986,18.32,68,0,5.51,GR,1712701237
266,belousovka,50.1339,82.5239,6.47,93,100,1.0,KZ,1712701237
267,sault ste. marie,46.5168,-84.3333,12.16,66,100,5.14,CA,1712701151
268,callao,-12.0667,-77.15,24.16,73,0,5.14,PE,1712701237
269,ciudad melchor muzquiz,27.8833,-101.5167,35.77,5,0,7.37,MX,1712701238
270,tangalle,6.024,80.7911,24.94,83,35,3.89,LK,1712701238
271,usinsk,65.9939,57.5281,-12.74,86,100,3.58,RU,1712701238
272,arkhangel'sk,64.5401,40.5433,1.18,100,100,1.0,RU,1712701238
273,coari,-4.085,-63.1414,25.93,92,93,1.53,BR,1712701116
274,yangjiang,21.85,111.9667,22.29,83,100,4.07,CN,1712701238
275,fisterra,42.9049,-9.2629,10.42,63,96,1.17,ES,1712701239
276,languyan,5.2618,120.0807,24.61,90,33,1.14,PH,1712701239
